BioProject	SRR
630329	11250899
630329	11250898
630329	11250897
630329	11250896
630329	11250895
630329	11250894
630329	11250893
630329	11250892
630329	11250891
630329	11250890
630329	11250889
630329	11250888
630329	11250887
630329	11250886
630329	11250885
630329	11250884
630329	11250883
630329	11250882
630329	11250881
630329	11250880
630329	11250879
630329	11250878
630329	11250877
630329	11250876
630329	11250875
630329	11250874
630329	11250873
630329	11250872
630329	11250871
630329	11250870
630329	11250869
630329	11250868
630329	11250867
630329	11250866
630329	11250865
630329	11250864
630329	11069123
630329	11069122
630329	11069121
630329	11069120
630329	11069119
630329	11069118
630329	11069117
630329	11069116
630329	11069115
630329	11069114
630329	11069113
630329	11069112
630329	11069111
630329	11069110
630329	11069109
630329	11069108
630329	11069107
630329	11069106
630329	11069105
630329	11069104
630329	11069103
630329	11069102
630329	11069101
630329	11069100
630329	11069099
630329	11069098
630329	11069097
630329	11069096
630329	11069095
630329	11069094
630329	11069093
630329	11069092
630329	11069091
630329	11069090
630329	11069089
630329	11069088
630329	11069087
630329	11069086
630329	11069085
630329	11069084
630329	11069083
630329	11069082
630329	11069081
630329	11069080
630329	11069079
630329	11069078
630329	11069077
630329	11069076
630329	11069075
630329	11069074
630329	11069073
630329	11069072
630329	11069071
630329	11069070
630329	11069069
630329	11069068
630329	11069067
630329	11069066
630329	11069065
630329	11069064
630329	11069063
630329	11069062
630329	11069061
630329	11069060
630329	11069059
630329	11069058
630329	11069057
630329	11069056
630329	11069055
630329	11069054
630329	11069053
630329	11069052
630329	11069051
630329	11069050
630329	11069049
630329	11069048
630329	11069047
630329	11069046
630329	11069045
630329	11069044
630329	11069043
630329	11069042
630329	11069041
630329	11069040
630329	11069039
630329	11069038
630329	11069037
630329	11069036
630329	11069035
630329	11069034
630329	11069033
630329	11069032
630329	11069031
630329	11069030
630329	11069029
630329	11069028
630329	11069027
630329	11069026
630329	11069025
630329	11069024
630329	11069023
630329	11069022
630329	11069021
630329	11069020
630329	11069019
630329	11069018
630329	11069017
630329	11069016
630329	11069015
630329	11069014
630329	11069013
630329	11069012
630329	11069011
630329	11069010
630329	11069009
630329	11069008
630329	11069007
630329	11069006
630329	11069005
630329	11069004
630329	11069003
630329	11069002
630329	11069001
630329	11069000
630329	11068999
630329	11068998
630329	11068997
630329	11068996
630329	11068995
630329	11068994
630329	11068993
630329	11068992
630329	11068991
630329	11068990
630329	11068989
630329	11068988
630329	11068987
630329	11068986
630329	11068985
630329	11068984
630329	11068983
630329	11068982
630329	11068981
630329	11068980
630329	11068979
630329	11068978
630329	11068977
630329	11068976
630329	11068975
630329	11068974
630329	11068973
630329	11068972
630329	11068971
630329	11068970
630329	11068969
630329	11068968
630329	11068967
630329	11068966
630329	11068965
630329	11068964
630329	11068963
630329	11068962
630329	11068961
630329	11068960
630329	11068959
630329	11068958
630329	11068957
630329	11068956
630329	11068955
630329	11068954
630329	11068953
630329	11068952
630329	11068951
630329	11068950
630329	11068949
630329	11068948
630329	11068947
630329	11068946
630329	11068945
630329	11068944
630329	11068943
630329	11068942
630329	11068941
630329	11068940
630329	11068939
630329	11068938
630329	11068937
630329	11068936
630329	11068935
630329	11068934
630329	11068933
630329	11068932
630329	11068931
630329	11068930
630329	11068929
630329	11068928
630329	11068927
630329	11068926
630329	11068925
630329	11068924
630329	11068923
630329	11068922
630329	11068921
630329	11068920
630329	11068919
630329	11068918
630329	11068917
630329	11068916
630329	11068915
630329	11068914
630329	11068913
630329	11068912
630329	11068911
630329	11068910
630329	11068909
630329	11068908
630329	11068907
630329	11068906
630329	11068905
630329	11068904
630329	11068903
630329	11068902
630329	11068901
630329	11068900
630329	11068899
630329	11068898
630329	11068897
630329	11068896
630329	11068895
630329	11068894
630329	11068893
630329	11068892
630329	11068891
630329	11068890
630329	11068889
630329	11068888
630329	11068887
630329	11068886
630329	11068885
630329	11068884
630329	11068883
630329	11068882
630329	11068881
630329	11068880
630329	11068879
630329	11068878
